figure_id	figure_type	H0	data_sha256	output_sha256
F1	CONCEPTUAL_MECHANISM	HYPOTHESIS_FRAMEWORK=NOT_APPLICABLE		6989103cdd4bb1a029c44cac0eea0bca28e7fbb9981705ac33eb685fbdd529a0
F2	EMPIRICAL_STATISTICAL	Delta primary endpoint = 0	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	4b0394c8eedd036e4259a6bf4c83845f3592815d5920cf1455b729b80c18b866
F3	EMPIRICAL_STATISTICAL	N/A attrition descriptive	448d4dca9ef6afcb4b4c0d8b88178a5d79a4b20bc9470160f11617f1b21435d8	fe754aee2349b4b43468d036fdef5cbe48905c298702363892e80b93d9cb59fe
F4	AI_MODEL_EVALUATION	Delta frozen scorer = 0	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	ec287f08c9605c291c684a54ecf6fd3d5425244556a1ba5b20344bb33d0a8ea2
F5	AI_MODEL_EVALUATION	Delta=0 at each K	cdd9553839776ba8dce656530c0b594bb82a2d1cf146837ebdbf211d1867bf65	abc6edd55bde473b85bd5c2264ab066b55923dd4e1d38323559251bb3184d949
F6	ROBUSTNESS_FAULT_INJECTION	Expected gate behavior under perturbation	3481402d13c8a5537dc8b85866889cd5bed9ab0e5bfc7efb93e8213661859554	ebe0e4aaa4b9dc4a162f360b121d3812f6049c32ca0ef653ee0239a073e450f6
F7	ROBUSTNESS_FAULT_INJECTION	All tamper modes detected	aea479997378207763e1c6c6c67998df58b15708d78e70193084674d0303b161	84c9c0b115e0ce4773175db4db97f452e0b36c2a8848ad060c517f8660c946f7
F8	SYSTEMS_COMPUTER_SCIENCE	N/A	e852bc5f8e3fff5485d74a64a9cedfa4f0dcddfaab91e390651108d13192c79e	045650ab226f64073a4980bd663d301d5cb22f9ee43bb167df1361cfa7712534
F9	SYSTEMS_COMPUTER_SCIENCE	N/A		629d79e69461498c2ef3dedfd79e90da687ecd6cf4220f8f8f0d8fee4988eee1
F10	CROSS_IMPLEMENTATION_COMPARISON	N/A		fbefbca84ef54461b71b6de5a4eee3816f87832ab3cd4d7fff82d0a998d7fba2
F11	CONCEPTUAL_MECHANISM	N/A		9538dc15966af51afdeb878453925516d5a0be0996a469d6abfb58f17d6ab4de
F12	CONCEPTUAL_MECHANISM	N/A	175e75c2d310f5bd308c848025fd63002b7a086adae09c6f92f5495cce7e737d	198eb16e19fff7226575afb5787a1c8795210bd3a7fa2e9daa20b6234eab466a
F13	SYSTEMS_COMPUTER_SCIENCE	N/A	cfd5cba2aff7426b79040bfc958dbe656f4a7db425937e278fc818c232306227	d178bc80e47009117d04df3790e57278d8c96c0c3d56d9aa870ff7cf7a9804b5
F14	CUSTODY_PROVENANCE	N/A	232fe68c3d78fdb781b9b5da5fa38213406ba511b77d5ff65562ff35b6e22d99	906ea000782d9ac89d69bc803b70139db8e55c72297146f98791f9bd921a9425
F15	REPRODUCIBILITY	N/A		ff42ba18dc9e2d6e307f645148347736053f51d2396a8040916f934c14d3b900
F16	CONCEPTUAL_MECHANISM	N/A		7b248f375b54ae94215d95f248ad10cd5a403fad237d5eef4b5a791459523f02
